,AQI
2012-01-31,4.838709677419355
2012-02-29,2.2413793103448274
2012-03-31,1.0
2012-04-30,2.2
2012-05-31,2.0
2012-06-30,1.1666666666666667
2012-07-31,1.8709677419354838
2012-08-31,2.064516129032258
2012-09-30,2.6666666666666665
2012-10-31,1.4193548387096775
2012-11-30,3.433333333333333
2012-12-31,2.6129032258064515
2013-01-31,3.064516129032258
2013-02-28,2.5
2013-03-31,3.2903225806451615
2013-04-30,1.8333333333333333
2013-05-31,2.2580645161290325
2013-06-30,1.8666666666666667
2013-07-31,1.6129032258064515
2013-08-31,2.096774193548387
2013-09-30,2.3
2013-10-31,2.096774193548387
2013-11-30,3.6
2013-12-31,3.4838709677419355
2014-01-31,4.064516129032258
2014-02-28,4.285714285714286
2014-03-31,3.3548387096774195
2014-04-30,1.5
2014-05-31,0.9354838709677419
2014-06-30,4.033333333333333
2014-07-31,4.419354838709677
2014-08-31,3.838709677419355
2014-09-30,4.4
2014-10-31,4.935483870967742
2014-11-30,3.9
2014-12-31,6.935483870967742
2015-01-31,4.483870967741935
2015-02-28,4.5
2015-03-31,2.4193548387096775
2015-04-30,2.8666666666666667
2015-05-31,2.032258064516129
2015-06-30,1.5666666666666667
2015-07-31,1.2580645161290323
2015-08-31,2.064516129032258
2015-09-30,4.0
2015-10-31,3.4838709677419355
2015-11-30,2.7
2015-12-31,2.967741935483871
2016-01-31,4.774193548387097
2016-02-29,4.103448275862069
2016-03-31,2.6774193548387095
2016-04-30,2.2
2016-05-31,3.064516129032258
2016-06-30,2.6
2016-07-31,2.2903225806451615
2016-08-31,2.4838709677419355
2016-09-30,4.0
2016-10-31,2.435483870967742
2016-11-30,3.7333333333333334
2016-12-31,1.5806451612903225
2017-01-31,2.032258064516129
2017-02-28,2.6785714285714284
2017-03-31,2.193548387096774
2017-04-30,0.7166666666666667
2017-05-31,4.129032258064516
2017-06-30,7.066666666666666
2017-07-31,3.806451612903226
2017-08-31,4.32258064516129
2017-09-30,4.433333333333334
2017-10-31,4.258064516129032
2017-11-30,7.266666666666667
2017-12-31,4.741935483870968
2018-01-31,3.7096774193548385
2018-02-28,3.0714285714285716
2018-03-31,3.3870967741935485
2018-04-30,3.0
2018-05-31,3.161290322580645
2018-06-30,5.6
2018-07-31,5.0
2018-08-31,5.580645161290323
2018-09-30,4.333333333333333
2018-10-31,1.935483870967742
2018-11-30,3.5
2018-12-31,5.32258064516129
2019-01-31,3.7096774193548385
2019-02-28,2.7142857142857144
2019-03-31,2.7419354838709675
2019-04-30,1.3333333333333333
2019-05-31,1.6129032258064515
2019-06-30,2.066666666666667
2019-07-31,2.935483870967742
2019-08-31,4.1561969439728355
2019-09-30,1.0385964912280703
2019-10-31,0.8387096774193549
2019-11-30,2.7666666666666666
2019-12-31,2.225806451612903
2020-01-31,2.3225806451612905
2020-02-29,2.5172413793103448
2020-03-31,2.129032258064516
2020-04-30,2.8
2020-05-31,3.096774193548387
2020-06-30,2.3
2020-07-31,0.4573055028462998
2020-08-31,0.6302521008403361
2020-09-30,1.0761904761904761
2020-10-31,2.064516129032258
2020-11-30,3.7333333333333334
2020-12-31,6.161290322580645
2021-01-31,6.967741935483871
2021-02-28,0.4642857142857143
2021-03-31,1.2580645161290323
2021-04-30,4.983333333333333
2021-05-31,3.032258064516129
2021-06-30,0.26666666666666666
2021-07-31,1.6451612903225807
2021-08-31,1.8166666666666667
