,AQI
2013-01-31,13.741935483870968
2013-02-28,11.392857142857142
2013-03-31,10.709677419354838
2013-04-30,26.133333333333333
2013-05-31,23.483870967741936
2013-06-30,17.5
2013-07-31,13.064516129032258
2013-08-31,13.483870967741936
2013-09-30,9.633333333333333
2013-10-31,13.774193548387096
2013-11-30,18.9
2013-12-31,10.290322580645162
2014-01-31,25.79032258064516
2014-02-28,12.0
2014-03-31,14.35483870967742
2014-04-30,30.9
2014-05-31,23.35483870967742
2014-06-30,14.466666666666667
2014-07-31,11.709677419354838
2014-08-31,6.774193548387097
2014-09-30,8.9
2014-10-31,6.516129032258065
2014-11-30,10.4
2014-12-31,4.580645161290323
2015-01-31,7.645161290322581
2015-02-28,9.857142857142858
2015-03-31,10.96774193548387
2015-04-30,17.166666666666668
2015-05-31,25.419354838709676
2015-06-30,17.333333333333332
2015-07-31,16.419354838709676
2015-08-31,6.838709677419355
2015-09-30,10.733333333333333
2015-10-31,9.096774193548388
2015-11-30,18.166666666666668
2015-12-31,5.935483870967742
2016-01-31,11.193548387096774
2016-02-29,7.758620689655173
2016-03-31,8.387096774193548
2016-04-30,12.933333333333334
2016-05-31,24.29032258064516
2016-06-30,11.566666666666666
2016-07-31,9.903225806451612
2016-08-31,2.6451612903225805
2016-09-30,4.866666666666666
2016-10-31,9.935483870967742
2016-11-30,11.8
2016-12-31,2.774193548387097
2017-01-31,6.032258064516129
2017-02-28,6.428571428571429
2017-03-31,8.096774193548388
2017-04-30,22.9
2017-05-31,18.35483870967742
2017-06-30,20.333333333333332
2017-07-31,7.967741935483871
2017-08-31,12.870967741935484
2017-09-30,6.433333333333334
2017-10-31,23.548387096774192
2017-11-30,11.133333333333333
2017-12-31,8.193548387096774
2018-01-31,11.548387096774194
2018-02-28,13.285714285714286
2018-03-31,5.838709677419355
2018-04-30,12.466666666666667
2018-05-31,37.58064516129032
2018-06-30,23.45
2018-07-31,17.322580645161292
2018-08-31,9.741935483870968
2018-09-30,6.2
2018-10-31,12.596774193548388
2018-11-30,3.7333333333333334
2018-12-31,9.290322580645162
2019-01-31,6.967741935483871
2019-02-28,9.5
2019-03-31,18.516129032258064
2019-04-30,21.666666666666668
2019-05-31,17.677419354838708
2019-06-30,15.533333333333333
2019-07-31,12.709677419354838
2019-08-31,9.935483870967742
2019-09-30,11.9
2019-10-31,7.225806451612903
2019-11-30,5.933333333333334
2019-12-31,9.32258064516129
2020-01-31,4.870967741935484
2020-02-29,7.344827586206897
2020-03-31,9.741935483870968
2020-04-30,9.3
2020-05-31,7.387096774193548
2020-06-30,8.9
2020-07-31,7.903225806451613
2020-08-31,8.96774193548387
2020-09-30,11.8
2020-10-31,9.64516129032258
2020-11-30,17.8
2020-12-31,8.387096774193548
2021-01-31,2.3870967741935485
2021-02-28,7.678571428571429
2021-03-31,20.193548387096776
2021-04-30,14.6
2021-05-31,14.193548387096774
2021-06-30,7.233333333333333
2021-07-31,2.806451612903226
2021-08-31,3.870967741935484
2021-09-30,6.3
2021-10-31,5.774193548387097
2021-11-30,12.733333333333333
2021-12-31,9.290322580645162
2022-01-31,8.258064516129032
2022-02-28,11.0
2022-03-31,9.35483870967742
2022-04-30,9.3
2022-05-31,18.032258064516128
2022-06-30,10.233333333333333
2022-07-31,9.32258064516129
2022-08-31,7.580645161290323
2022-09-30,9.633333333333333
